source,target,value
用户168,用户472,668
用户168,用户912,1212
用户978,用户207,124
用户159,用户356,9
用户159,用户912,30
用户947,用户774,2176
用户67,用户165,251
用户159,用户214,181
用户428,用户915,503
用户629,用户159,13
用户912,用户168,1197
用户912,用户472,273
用户454,用户401,349
用户530,用户629,506
用户530,用户891,400
用户718,用户61,395
用户912,用户159,26
用户540,用户987,72
用户692,用户159,5
用户692,用户334,15
用户629,用户530,610
用户67,用户207,345
用户629,用户891,654
用户90,用户978,23
用户280,用户629,166
用户159,用户935,6
用户987,用户540,397
用户316,用户915,431
用户915,用户428,539
用户356,用户765,306
用户915,用户718,81
用户280,用户915,130
用户280,用户530,181
用户418,用户996,1248
用户90,用户428,17
用户891,用户629,368
用户738,用户923,144
用户738,用户506,53
用户738,用户996,58
用户428,用户90,9
用户746,用户692,457
用户912,用户356,302
用户61,用户718,534
用户356,用户472,753
用户356,用户159,6
用户472,用户356,258
用户165,用户401,451
用户165,用户67,321
用户401,用户454,420
用户629,用户280,380
用户978,用户629,24
用户629,用户978,35
用户90,用户746,16
用户746,用户90,6
用户454,用户120,102
用户159,用户923,83
用户135,用户540,5
用户214,用户428,16
用户214,用户915,7
用户316,用户159,19
用户207,用户165,84
用户692,用户746,111
用户159,用户316,20
用户977,用户418,651
用户418,用户977,331
用户334,用户629,5
用户334,用户530,8
用户530,用户334,4
用户765,用户214,43
用户923,用户120,60
用户214,用户765,38
用户629,用户214,34
用户356,用户912,414
用户978,用户159,8
用户334,用户159,96
用户742,用户214,84
用户742,用户159,77
用户159,用户742,45
用户472,用户168,386
用户214,用户912,50
用户159,用户978,15
用户159,用户502,19
用户502,用户159,22
用户718,用户915,38
用户334,用户718,32
用户923,用户159,57
用户935,用户90,4
用户90,用户935,11
用户586,用户267,395
用户915,用户530,89
用户506,用户996,151
用户61,用户692,50
用户935,用户214,32
用户214,用户935,20
用户428,用户316,250
用户90,用户107,63
用户935,用户159,3
用户334,用户692,94
用户159,用户891,5
用户923,用户214,94
用户159,用户915,21
用户915,用户923,37
用户915,用户356,10
用户915,用户159,18
用户915,用户280,35
用户214,用户159,158
用户159,用户692,12
用户159,用户334,17
用户168,用户356,307
用户267,用户629,42
用户267,用户891,171
用户891,用户267,211
用户472,用户912,145
用户214,用户629,59
用户90,用户987,11
用户356,用户586,98
用户416,用户356,99
用户90,用户506,35
用户506,用户90,21
用户334,用户923,48
用户506,用户738,15
用户586,用户356,157
用户692,用户135,55
用户168,用户790,174
用户790,用户168,192
用户790,用户912,9
用户416,用户168,118
用户774,用户947,2816
用户530,用户915,54
用户530,用户280,79
用户891,用户530,296
用户90,用户692,34
用户61,用户356,78
用户530,用户267,81
用户915,用户316,355
用户214,用户742,51
用户165,用户207,43
用户159,用户629,6
用户267,用户586,191
用户401,用户165,520
用户214,用户923,96
用户472,用户416,12
用户98,用户107,669
用户98,用户454,193
用户316,用户428,285
用户107,用户98,175
用户915,用户165,49
用户586,用户214,18
用户586,用户159,32
用户90,用户742,48
用户267,用户530,40
用户977,用户996,131
用户135,用户692,79
用户718,用户502,58
用户416,用户912,90
用户996,用户418,745
用户356,用户416,107
用户502,用户718,41
用户915,用户912,5
用户915,用户168,1
用户915,用户472,1
用户915,用户765,5
用户915,用户629,6
用户530,用户718,6
用户629,用户915,12
用户742,用户90,57
用户586,用户718,12
用户586,用户416,258
用户718,用户586,4
用户718,用户530,6
用户586,用户334,61
用户912,用户915,2
用户912,用户742,2
用户165,用户915,15
用户280,用户718,2
用户891,用户280,22
用户334,用户742,32
用户718,用户334,7
用户207,用户428,66
用户334,用户90,8
用户428,用户207,21
用户120,用户454,53
用户90,用户280,11
用户267,用户135,2
用户629,用户267,25
用户135,用户267,3
用户718,用户107,13
用户718,用户629,2
用户629,用户356,1
用户742,用户692,50
用户742,用户334,15
用户356,用户168,325
用户454,用户98,139
用户718,用户280,2
用户356,用户629,1
用户416,用户159,17
用户168,用户765,24
用户159,用户416,10
用户416,用户629,18
用户790,用户267,14
用户267,用户790,15
用户416,用户586,144
用户159,用户61,6
用户915,用户61,24
用户428,用户61,16
用户61,用户159,11
用户61,用户428,22
用户61,用户915,46
用户90,用户912,15
用户586,用户168,88
用户912,用户90,12
用户168,用户586,55
用户168,用户416,111
用户765,用户168,16
用户207,用户67,96
用户502,用户915,21
用户90,用户915,28
用户107,用户718,13
用户586,用户782,273
用户165,用户428,24
用户165,用户316,375
用户782,用户416,116
用户692,用户90,3
用户586,用户912,58
用户334,用户502,32
用户280,用户502,22
用户502,用户280,66
用户214,用户987,26
用户214,用户530,34
用户214,用户738,32
用户214,用户334,33
用户135,用户214,15
用户891,用户214,6
用户135,用户159,3
用户159,用户135,1
